STATE,PUMA,metro,metro_pop_share,puma_pop_2020
13,00701,Atlanta,1.0,103318.0
13,00702,Atlanta,1.0,147965.0
13,00801,Atlanta,1.0,109950.0
13,00802,Atlanta,1.0,156670.0
13,00900,Atlanta,1.0,108901.0
13,01100,Atlanta,1.0,168661.0
13,01200,Atlanta,1.0,144237.0
13,01301,Atlanta,1.0,136909.0
13,01302,Atlanta,1.0,158362.0
13,01303,Atlanta,1.0,153060.0
13,01304,Atlanta,1.0,142096.0
13,01305,Atlanta,1.0,175722.0
13,01401,Atlanta,1.0,141883.0
13,01402,Atlanta,1.0,141088.0
13,01403,Atlanta,1.0,108321.0
13,01404,Atlanta,1.0,160790.0
13,01405,Atlanta,1.0,144940.0
13,01406,Atlanta,1.0,152642.0
13,01407,Atlanta,1.0,108190.0
13,01408,Atlanta,1.0,108856.0
13,01501,Atlanta,1.0,151649.0
13,01502,Atlanta,1.0,129176.0
13,01503,Atlanta,1.0,124368.0
13,01504,Atlanta,1.0,112094.0
13,01505,Atlanta,1.0,118224.0
13,01506,Atlanta,1.0,128871.0
13,01601,Atlanta,1.0,156916.0
13,01602,Atlanta,1.0,140114.0
13,01603,Atlanta,1.0,132178.0
13,01604,Atlanta,1.0,123694.0
13,01605,Atlanta,1.0,135524.0
13,01606,Atlanta,1.0,132124.0
13,01607,Atlanta,1.0,136512.0
13,01700,Atlanta,0.5238313301382581,159412.0
13,02000,Atlanta,1.0,131358.0
13,02100,Atlanta,1.0,206053.0
13,02201,Atlanta,1.0,116602.0
13,02202,Atlanta,1.0,124110.0
13,02301,Atlanta,1.0,155520.0
13,02302,Atlanta,1.0,142075.0
13,02400,Atlanta,1.0,119194.0
13,02500,Atlanta,1.0,146158.0
13,02600,Atlanta,1.0,119148.0
13,02800,Atlanta,0.7072781301281768,157829.0
26,01701,Detroit,0.6213383254105143,142626.0
26,02800,Detroit,1.0,193866.0
26,02901,Detroit,1.0,141074.0
26,02902,Detroit,1.0,139946.0
26,02903,Detroit,1.0,176267.0
26,02904,Detroit,1.0,157180.0
26,02905,Detroit,1.0,137228.0
26,02906,Detroit,1.0,158027.0
26,02907,Detroit,1.0,176289.0
26,02908,Detroit,1.0,188384.0
26,03001,Detroit,1.0,126387.0
26,03002,Detroit,1.0,176316.0
26,03003,Detroit,1.0,134346.0
26,03004,Detroit,1.0,155250.0
26,03005,Detroit,1.0,140979.0
26,03006,Detroit,1.0,147939.0
26,03100,Detroit,1.0,160383.0
26,03201,Detroit,1.0,204901.0
26,03202,Detroit,1.0,145039.0
26,03203,Detroit,1.0,173268.0
26,03204,Detroit,1.0,156601.0
26,03205,Detroit,1.0,115191.0
26,03206,Detroit,1.0,136749.0
26,03207,Detroit,1.0,123321.0
26,03208,Detroit,1.0,154586.0
26,03209,Detroit,1.0,126448.0
26,03210,Detroit,1.0,108909.0
26,03211,Detroit,1.0,122822.0
26,03212,Detroit,1.0,106725.0
26,03213,Detroit,1.0,119001.0
48,04400,Houston,1.0,138199.0
48,04501,Houston,1.0,173848.0
